,BuildingID,Mean Functional Recovery,Std Functional Recovery,Median Functional Recovery,25th percentile FR,75th percentile FR,90th percentile FR,Mean Reoccupancy,Std Reoccupancy,Median Reoccupancy,25th percentile Reoccupancy,75th percentile Reoccupancy,90th percentile Reoccupancy,Hazard_level,SA(T1=0.3s)
0,MFD6B,1.712726666666667,25.084564634867483,0.0,0.0,0.0,2.0,1.5758066666666666,24.911408649549394,0.0,0.0,0.0,0.0,1,0.1
1,MFD6B,12.904689999999999,63.95922195303218,2.0,0.0,8.0,12.0,8.707446666666668,60.6372695074979,0.0,0.0,7.0,11.0,2,0.3
2,MFD6B,46.695479999999996,130.8545026717021,8.0,3.0,12.0,110.0,35.864223333333335,129.0506961575657,7.0,0.0,10.0,15.0,3,0.5
3,MFD6B,121.10689333333336,213.72831877236047,12.0,8.0,122.0,428.10000000000036,99.12663333333333,217.69242551156898,9.0,6.0,14.0,428.10000000000036,4,0.7
4,MFD6B,207.2042128156241,261.03183706763934,80.0,10.0,356.25,591.0,182.0214228156241,272.8758260461103,11.0,7.0,356.25,591.0,5,0.9
5,MFD6B,291.8193910650934,282.6571681484439,232.0,43.0,468.0,695.0,266.7388777317601,299.61295802553644,206.0,9.0,467.0,695.0,6,1.1
6,MFD6B,380.92236430492613,283.8394199902674,359.0,119.0,567.0,740.5166666666668,358.4319743049261,303.91407245487284,357.0,12.0,565.5833333333334,734.1000000000004,7,1.3
7,MFD6B,482.63799082159557,272.1150871160535,473.0,290.0,729.7926843488539,765.1000000000004,465.1108608215956,291.670232669249,468.0,278.4583333333333,729.7842741606662,761.0,8,1.5
8,MFD6B,554.4000820426211,242.7426268079265,626.0,365.25,730.0458080411277,730.5289160805204,541.780752042621,259.17516232977414,620.0,359.8333333333333,730.0387299556339,730.5025848083258,9,1.7
9,MFD6B,597.6851716517727,215.98462847900757,729.6407201402684,421.0,730.1006077854113,730.4921154810015,588.3183516517728,231.8396204494452,729.6364707812809,412.0,730.0993766384631,730.4819365789847,10,1.9
10,MFD6B,641.7232396236766,187.7165135809777,729.8362238023523,537.0,730.1568358442213,730.4745486034257,636.8065896236766,196.52368012113774,729.8333013600668,531.0,730.1553155384572,730.469960924793,11,2.1
11,MFD6B,662.924538980511,163.44487129168095,729.8899876624853,711.75,730.1726880688544,730.4533540949076,660.516718980511,169.67750565858776,729.8896989022659,710.75,730.1719095294636,730.4526708234537,12,2.3
12,MFD6B,673.7219399371627,147.36192539818023,729.9067894946759,729.5108400850635,730.1608899961975,730.3962472316858,672.8786366038294,149.4983691969098,729.9066862457804,729.5100880729966,730.1605285296032,730.395949501223,13,2.5
13,MFD6B,681.8994885250384,135.518562860712,729.9233958935101,729.5916019173197,730.1695114787811,730.4050434128084,680.7234618583718,138.0132740958318,729.9229947986335,729.5908213039872,730.1689959496239,730.4030660738636,14,2.7
14,MFD6B,694.9593161727524,120.86789237604906,729.950705722243,729.6728171999102,730.1818987995777,730.4033963317227,694.0393828394191,123.22423103182217,729.9505569963384,729.6726874602787,730.1817721237077,730.4029107565375,15,2.9
15,MFD6B,687.2805308173403,131.06891521225663,729.9370028080798,729.6350478990769,730.175235404407,730.396481108619,686.2803741506735,133.85206869498697,729.936690711482,729.6341816892525,730.1747368824521,730.3952173441227,16,3.1
16,MFD6B,688.8512255567123,127.9921765932109,729.9438968740417,729.6504076942385,730.1762384077686,730.392397354861,687.7415488900457,131.54749268519743,729.9437306066667,729.649984353176,730.1760771928771,730.3921794291703,17,3.3
17,MFD6B,703.4342077554236,106.44666550113627,729.9636025141581,729.7154668754146,730.1867686148363,730.3924244019206,703.159791088757,107.15030907195667,729.9634013786147,729.7152238205231,730.1866505958468,730.392282892913,18,3.5
