,BuildingID,Replacement_Cost,Mean_Repair_Cost,Median_Repair_Cost,RepairCost_10th_percentile,RepairCost_25th_percentile,RepairCost_75th_percentile,RepairCost_90th_percentile,RepairCost_std,Hazard_level,SA(T1=0.3s),Max SDR,Max PFA,Max RDR,Max PGA
0,MFD6B,7133184,30650.7541230447,27233.298811059532,6355.13358574776,14541.594315397057,40541.957085974056,56075.40446799117,23415.563814524354,1,0.1,0.00314017,0.3889614007108973,0.00242513,0.16334040713086725
1,MFD6B,7133184,50393.933821403436,42503.44324123045,21044.591419867556,31046.300606062523,60408.742878621335,89973.61362862859,31789.840863535952,2,0.2,0.00488874,0.661407280550852,0.00312299,0.2865916302144855
2,MFD6B,7133184,91213.03090668016,68985.14469160722,23794.46972974171,39707.22077502135,123414.93968917718,190497.13349229525,72432.21006392546,3,0.3,0.0066047,1.0213329803302977,0.0039967,0.5182712335467827
3,MFD6B,7133184,138035.04215861676,110841.36563409085,38863.03932147397,61669.801245152456,190639.34227514637,277103.95845415833,99832.30521561395,4,0.4,0.00883893,0.8846726154274878,0.00722723,0.5316829009387628
4,MFD6B,7133184,197196.10192754053,178495.114920868,69630.30713167704,113792.47238632292,259913.63015072912,346494.0485023567,111144.6261046033,5,0.5,0.0108108,0.8995761246058883,0.00947637,0.5270002749360225
5,MFD6B,7133184,325632.96819680993,297523.35248697223,105315.59083823595,181049.34784359796,437414.35865110374,577400.1822305303,190455.33306940438,6,0.7,0.140872,1.1926016851470354,0.140872,0.750338479472353
6,MFD6B,7133184,652976.6011265783,501939.1716327281,218371.71220251228,340199.8376640911,682701.7374996921,897938.2618695194,958846.2872700247,7,1.0,0.0620069,1.4062359054608315,0.0602914,1.0179892776870625
7,MFD6B,7133184,577392.6301996168,500210.6182885526,239524.8381351043,350309.99327344587,667388.4215505597,859483.6846124824,637074.2001595936,8,1.2,0.295352,1.7307897128415235,0.295352,0.9313736906918371
8,MFD6B,7133184,881617.3124452458,722311.9800985043,476076.08344183076,586961.4445456945,884528.7743215046,1061906.5242783742,975017.9168422667,9,1.5,0.200003,2.680923365196925,0.198851,1.7106974567306186
9,MFD6B,7133184,885731.6316911804,767062.7868981959,495263.0864306535,617431.8729073808,941693.2935971349,1142726.5279578555,819028.0604142918,10,1.8,0.339119,2.466981135575691,0.339119,1.6007067792509169
10,MFD6B,7133184,966119.7425378122,828901.7089805808,550440.0366967442,667495.3933141865,1014413.880631929,1221657.1167710759,889928.058336857,11,2.0,0.258689,2.7037522903364697,0.258689,1.5232439242598383
11,MFD6B,7133184,947848.8937631559,844153.968211429,569008.6570406876,695808.304691544,1019561.1793762698,1225193.1599779257,752861.6783662952,12,2.5,0.175096,2.982720720216294,0.175096,1.814859713397799
12,MFD6B,7133184,1416260.7320518836,1001703.4958478617,655271.2701855386,803075.918522888,1256749.0629020617,1594760.6700319948,1565429.0088314386,13,3.0,0.267213,3.2002425874189333,0.267213,2.7347050194348776
